Datetime,NEM NNSW SOLAR,NEM TAS SOLAR,NEM SQ WIND,NEM GG SOLAR,NEM VIC SOLAR,NEM CNQ WIND,NEM SNSW SOLAR,NEM VIC WIND,NEM SNW WIND,NEM TAS WIND,NEM CNSW SOLAR,NEM NNSW WIND,NEM SNSW WIND,NEM SNW SOLAR,NEM SA SOLAR,NEM SQ SOLAR,NEM SA WIND,NEM CNQ SOLAR,NEM GG WIND,NEM CNSW WIND,C&I NNSW SOLAR,C&I TAS SOLAR,C&I SQ WIND,C&I GG SOLAR,C&I VIC SOLAR,C&I CNQ WIND,C&I SNSW SOLAR,C&I VIC WIND,C&I SNW WIND,C&I TAS WIND,C&I CNSW SOLAR,C&I NNSW WIND,C&I SNSW WIND,C&I SNW SOLAR,C&I SA SOLAR,C&I SQ SOLAR,C&I SA WIND,C&I CNQ SOLAR,C&I GG WIND,C&I CNSW WIND
20/4/35 9:00,0.877,0.752,0.005,0.901,0.202,0.203,0.736,0.074,0.059,0.936,0.834,0.002,0.004,0.783,0.122,0.766,0.004,0.883,0.792,0.024,0.877,0.752,0.005,0.901,0.202,0.203,0.736,0.074,0.059,0.936,0.834,0.002,0.004,0.783,0.122,0.766,0.004,0.883,0.792,0.024
20/4/35 10:00,0.831,0.703,0.003,0.897,0.316,0.207,0.694,0.067,0.056,0.921,0.804,0.006,0.002,0.737,0.057,0.818,0.006,0.756,0.714,0.148,0.831,0.703,0.003,0.897,0.316,0.207,0.694,0.067,0.056,0.921,0.804,0.006,0.002,0.737,0.057,0.818,0.006,0.756,0.714,0.148
20/4/35 11:00,0.789,0.611,0.021,0.882,0.261,0.262,0.573,0.075,0.05,0.947,0.771,0.006,0.004,0.72,0.024,0.803,0.008,0.618,0.587,0.167,0.789,0.611,0.021,0.882,0.261,0.262,0.573,0.075,0.05,0.947,0.771,0.006,0.004,0.72,0.024,0.803,0.008,0.618,0.587,0.167
20/4/35 12:00,0.785,0.557,0.012,0.866,0.237,0.362,0.542,0.083,0.021,0.946,0.774,0.002,0.03,0.654,0.036,0.792,0.003,0.726,0.414,0.108,0.785,0.557,0.012,0.866,0.237,0.362,0.542,0.083,0.021,0.946,0.774,0.002,0.03,0.654,0.036,0.792,0.003,0.726,0.414,0.108
20/4/35 13:00,0.805,0.384,0.007,0.87,0.227,0.502,0.429,0.109,0.028,0.955,0.798,0.036,0.075,0.695,0.059,0.825,0.001,0.698,0.288,0.073,0.805,0.384,0.007,0.87,0.227,0.502,0.429,0.109,0.028,0.955,0.798,0.036,0.075,0.695,0.059,0.825,0.001,0.698,0.288,0.073
20/4/35 14:00,0.845,0.162,0.002,0.87,0.144,0.465,0.339,0.1,0.046,0.935,0.8,0.154,0.091,0.674,0.278,0.853,0.09,0.843,0.29,0.059,0.845,0.162,0.002,0.87,0.144,0.465,0.339,0.1,0.046,0.935,0.8,0.154,0.091,0.674,0.278,0.853,0.09,0.843,0.29,0.059
20/4/35 15:00,0.834,0.13,0.002,0.87,0.072,0.432,0.158,0.074,0.022,0.946,0.637,0.209,0.067,0.605,0.078,0.848,0.222,0.762,0.258,0.069,0.834,0.13,0.002,0.87,0.072,0.432,0.158,0.074,0.022,0.946,0.637,0.209,0.067,0.605,0.078,0.848,0.222,0.762,0.258,0.069
20/4/35 16:00,0.317,0.112,0,0.608,0.033,0.363,0.053,0.055,0.04,0.927,0.186,0.202,0.027,0.22,0.15,0.339,0.148,0.617,0.235,0.106,0.317,0.112,0,0.608,0.033,0.363,0.053,0.055,0.04,0.927,0.186,0.202,0.027,0.22,0.15,0.339,0.148,0.617,0.235,0.106
20/4/35 17:00,0.021,0.001,0.017,0.222,0.01,0.368,0.007,0.062,0.077,0.884,0.013,0.262,0.004,0.003,0.115,0.016,0.122,0.065,0.247,0.171,0.021,0.001,0.017,0.222,0.01,0.368,0.007,0.062,0.077,0.884,0.013,0.262,0.004,0.003,0.115,0.016,0.122,0.065,0.247,0.171
20/4/35 18:00,0,0,0.226,0,0,0.397,0,0.048,0.081,0.959,0,0.278,0.004,0,0,0,0.127,0,0.393,0.22,0,0,0.226,0,0,0.397,0,0.048,0.081,0.959,0,0.278,0.004,0,0,0,0.127,0,0.393,0.22
20/4/35 19:00,0,0,0.423,0,0,0.436,0,0.102,0.023,0.953,0,0.309,0.001,0,0,0,0.083,0,0.734,0.192,0,0,0.423,0,0,0.436,0,0.102,0.023,0.953,0,0.309,0.001,0,0,0,0.083,0,0.734,0.192
20/4/35 20:00,0,0,0.458,0,0,0.443,0,0.289,0.016,0.97,0,0.32,0.002,0,0,0,0.022,0,0.846,0.124,0,0,0.458,0,0,0.443,0,0.289,0.016,0.97,0,0.32,0.002,0,0,0,0.022,0,0.846,0.124
20/4/35 21:00,0,0,0.539,0,0,0.554,0,0.377,0.018,0.962,0,0.291,0.002,0,0,0,0.012,0,0.919,0.112,0,0,0.539,0,0,0.554,0,0.377,0.018,0.962,0,0.291,0.002,0,0,0,0.012,0,0.919,0.112
20/4/35 22:00,0,0,0.496,0,0,0.751,0,0.321,0.012,0.963,0,0.252,0,0,0,0,0.004,0,0.927,0.174,0,0,0.496,0,0,0.751,0,0.321,0.012,0.963,0,0.252,0,0,0,0,0.004,0,0.927,0.174
20/4/35 23:00,0,0,0.546,0,0,0.816,0,0.125,0.009,0.961,0,0.198,0.004,0,0,0,0.017,0,0.923,0.143,0,0,0.546,0,0,0.816,0,0.125,0.009,0.961,0,0.198,0.004,0,0,0,0.017,0,0.923,0.143
21/4/35 0:00,0,0,0.528,0,0,0.809,0,0.051,0,0.966,0,0.233,0.002,0,0,0,0.012,0,0.93,0.111,0,0,0.528,0,0,0.809,0,0.051,0,0.966,0,0.233,0.002,0,0,0,0.012,0,0.93,0.111
21/4/35 1:00,0,0,0.436,0,0,0.798,0,0.052,0.009,0.948,0,0.194,0.002,0,0,0,0.015,0,0.94,0.076,0,0,0.436,0,0,0.798,0,0.052,0.009,0.948,0,0.194,0.002,0,0,0,0.015,0,0.94,0.076
21/4/35 2:00,0,0,0.329,0,0,0.772,0,0.02,0.054,0.965,0,0.22,0.003,0,0,0,0.054,0,0.909,0.06,0,0,0.329,0,0,0.772,0,0.02,0.054,0.965,0,0.22,0.003,0,0,0,0.054,0,0.909,0.06
21/4/35 3:00,0,0,0.239,0,0,0.708,0,0.003,0.084,0.96,0,0.211,0.005,0,0,0,0.083,0,0.931,0.071,0,0,0.239,0,0,0.708,0,0.003,0.084,0.96,0,0.211,0.005,0,0,0,0.083,0,0.931,0.071
21/4/35 4:00,0,0,0.139,0,0,0.662,0,0.048,0.136,0.958,0,0.2,0.003,0,0,0,0.096,0,0.926,0.09,0,0,0.139,0,0,0.662,0,0.048,0.136,0.958,0,0.2,0.003,0,0,0,0.096,0,0.926,0.09
21/4/35 5:00,0,0,0.059,0,0,0.601,0,0.15,0.15,0.936,0,0.191,0.006,0,0,0,0.153,0,0.922,0.079,0,0,0.059,0,0,0.601,0,0.15,0.15,0.936,0,0.191,0.006,0,0,0,0.153,0,0.922,0.079
21/4/35 6:00,0.026,0,0.027,0.003,0,0.529,0,0.26,0.245,0.966,0.009,0.207,0.039,0,0,0.037,0.172,0.024,0.919,0.079,0.026,0,0.027,0.003,0,0.529,0,0.26,0.245,0.966,0.009,0.207,0.039,0,0,0.037,0.172,0.024,0.919,0.079
21/4/35 7:00,0.404,0.048,0.012,0.146,0.063,0.464,0.077,0.3,0.313,0.964,0.252,0.16,0.054,0.216,0.043,0.408,0.151,0.394,0.914,0.072,0.404,0.048,0.012,0.146,0.063,0.464,0.077,0.3,0.313,0.964,0.252,0.16,0.054,0.216,0.043,0.408,0.151,0.394,0.914,0.072
21/4/35 8:00,0.829,0.229,0.003,0.266,0.532,0.352,0.21,0.316,0.182,0.951,0.764,0.126,0.078,0.613,0.328,0.81,0.233,0.859,0.916,0.033,0.829,0.229,0.003,0.266,0.532,0.352,0.21,0.316,0.182,0.951,0.764,0.126,0.078,0.613,0.328,0.81,0.233,0.859,0.916,0.033
21/4/35 9:00,0.831,0.445,0.002,0.748,0.555,0.257,0.346,0.311,0.167,0.934,0.796,0.097,0.092,0.673,0.474,0.741,0.175,0.87,0.886,0.002,0.831,0.445,0.002,0.748,0.555,0.257,0.346,0.311,0.167,0.934,0.796,0.097,0.092,0.673,0.474,0.741,0.175,0.87,0.886,0.002
21/4/35 10:00,0.806,0.277,0.004,0.898,0.66,0.241,0.52,0.323,0.09,0.928,0.77,0.054,0.087,0.593,0.593,0.662,0.148,0.833,0.78,0.006,0.806,0.277,0.004,0.898,0.66,0.241,0.52,0.323,0.09,0.928,0.77,0.054,0.087,0.593,0.593,0.662,0.148,0.833,0.78,0.006
21/4/35 11:00,0.782,0.22,0.01,0.884,0.714,0.217,0.522,0.338,0.029,0.93,0.748,0.021,0.074,0.697,0.58,0.617,0.188,0.842,0.574,0.017,0.782,0.22,0.01,0.884,0.714,0.217,0.522,0.338,0.029,0.93,0.748,0.021,0.074,0.697,0.58,0.617,0.188,0.842,0.574,0.017
21/4/35 12:00,0.784,0.276,0.026,0.88,0.696,0.257,0.594,0.33,0.031,0.905,0.747,0.016,0.049,0.671,0.516,0.629,0.25,0.816,0.523,0.036,0.784,0.276,0.026,0.88,0.696,0.257,0.594,0.33,0.031,0.905,0.747,0.016,0.049,0.671,0.516,0.629,0.25,0.816,0.523,0.036
21/4/35 13:00,0.804,0.191,0.055,0.879,0.723,0.221,0.58,0.218,0.027,0.915,0.775,0.03,0.119,0.568,0.641,0.669,0.218,0.816,0.428,0.06,0.804,0.191,0.055,0.879,0.723,0.221,0.58,0.218,0.027,0.915,0.775,0.03,0.119,0.568,0.641,0.669,0.218,0.816,0.428,0.06
21/4/35 14:00,0.832,0.24,0.126,0.832,0.768,0.381,0.646,0.207,0.026,0.939,0.809,0.042,0.165,0.575,0.775,0.778,0.155,0.828,0.379,0.095,0.832,0.24,0.126,0.832,0.768,0.381,0.646,0.207,0.026,0.939,0.809,0.042,0.165,0.575,0.775,0.778,0.155,0.828,0.379,0.095
21/4/35 15:00,0.804,0.147,0.149,0.89,0.797,0.528,0.788,0.226,0.012,0.943,0.797,0.052,0.242,0.8,0.803,0.813,0.128,0.885,0.328,0.109,0.804,0.147,0.149,0.89,0.797,0.528,0.788,0.226,0.012,0.943,0.797,0.052,0.242,0.8,0.803,0.813,0.128,0.885,0.328,0.109
21/4/35 16:00,0.317,0.103,0.277,0.646,0.406,0.563,0.44,0.217,0.02,0.933,0.309,0.035,0.254,0.386,0.611,0.304,0.264,0.63,0.285,0.103,0.317,0.103,0.277,0.646,0.406,0.563,0.44,0.217,0.02,0.933,0.309,0.035,0.254,0.386,0.611,0.304,0.264,0.63,0.285,0.103
21/4/35 17:00,0.017,0.002,0.547,0.221,0.049,0.599,0.043,0.181,0.007,0.905,0.02,0.024,0.289,0.024,0.218,0.015,0.409,0.047,0.308,0.074,0.017,0.002,0.547,0.221,0.049,0.599,0.043,0.181,0.007,0.905,0.02,0.024,0.289,0.024,0.218,0.015,0.409,0.047,0.308,0.074
21/4/35 18:00,0,0,0.687,0,0,0.749,0,0.142,0.027,0.856,0,0.013,0.332,0,0,0,0.445,0,0.425,0.028,0,0,0.687,0,0,0.749,0,0.142,0.027,0.856,0,0.013,0.332,0,0,0,0.445,0,0.425,0.028
21/4/35 19:00,0,0,0.683,0,0,0.763,0,0.162,0.042,0.846,0,0.016,0.257,0,0,0,0.527,0,0.586,0.004,0,0,0.683,0,0,0.763,0,0.162,0.042,0.846,0,0.016,0.257,0,0,0,0.527,0,0.586,0.004
21/4/35 20:00,0,0,0.756,0,0,0.704,0,0.155,0.13,0.884,0,0.004,0.228,0,0,0,0.752,0,0.565,0.001,0,0,0.756,0,0,0.704,0,0.155,0.13,0.884,0,0.004,0.228,0,0,0,0.752,0,0.565,0.001
21/4/35 21:00,0,0,0.764,0,0,0.724,0,0.201,0.277,0.909,0,0.003,0.207,0,0,0,0.879,0,0.438,0.005,0,0,0.764,0,0,0.724,0,0.201,0.277,0.909,0,0.003,0.207,0,0,0,0.879,0,0.438,0.005
21/4/35 22:00,0,0,0.762,0,0,0.707,0,0.303,0.319,0.921,0,0.003,0.135,0,0,0,0.907,0,0.439,0.008,0,0,0.762,0,0,0.707,0,0.303,0.319,0.921,0,0.003,0.135,0,0,0,0.907,0,0.439,0.008
21/4/35 23:00,0,0,0.759,0,0,0.662,0,0.513,0.385,0.958,0,0.003,0.13,0,0,0,0.902,0,0.47,0.01,0,0,0.759,0,0,0.662,0,0.513,0.385,0.958,0,0.003,0.13,0,0,0,0.902,0,0.47,0.01
22/4/35 0:00,0,0,0.737,0,0,0.727,0,0.463,0.504,0.961,0,0.053,0.186,0,0,0,0.896,0,0.372,0.007,0,0,0.737,0,0,0.727,0,0.463,0.504,0.961,0,0.053,0.186,0,0,0,0.896,0,0.372,0.007
22/4/35 1:00,0,0,0.655,0,0,0.673,0,0.361,0.587,0.958,0,0.207,0.131,0,0,0,0.896,0,0.356,0.011,0,0,0.655,0,0,0.673,0,0.361,0.587,0.958,0,0.207,0.131,0,0,0,0.896,0,0.356,0.011
22/4/35 2:00,0,0,0.653,0,0,0.653,0,0.459,0.617,0.942,0,0.476,0.046,0,0,0,0.839,0,0.387,0.113,0,0,0.653,0,0,0.653,0,0.459,0.617,0.942,0,0.476,0.046,0,0,0,0.839,0,0.387,0.113
22/4/35 3:00,0,0,0.639,0,0,0.676,0,0.441,0.6,0.937,0,0.726,0.014,0,0,0,0.59,0,0.468,0.686,0,0,0.639,0,0,0.676,0,0.441,0.6,0.937,0,0.726,0.014,0,0,0,0.59,0,0.468,0.686
22/4/35 4:00,0,0,0.63,0,0,0.61,0,0.402,0.366,0.951,0,0.688,0.023,0,0,0,0.377,0,0.4,0.79,0,0,0.63,0,0,0.61,0,0.402,0.366,0.951,0,0.688,0.023,0,0,0,0.377,0,0.4,0.79
22/4/35 5:00,0,0,0.596,0,0,0.622,0,0.463,0.143,0.939,0,0.616,0,0,0,0,0.691,0,0.472,0.843,0,0,0.596,0,0,0.622,0,0.463,0.143,0.939,0,0.616,0,0,0,0,0.691,0,0.472,0.843
22/4/35 6:00,0.025,0,0.531,0.004,0,0.578,0,0.51,0.075,0.939,0.009,0.528,0.055,0,0,0.046,0.71,0.023,0.511,0.876,0.025,0,0.531,0.004,0,0.578,0,0.51,0.075,0.939,0.009,0.528,0.055,0,0,0.046,0.71,0.023,0.511,0.876
22/4/35 7:00,0.409,0.046,0.341,0.268,0.04,0.555,0.134,0.577,0.067,0.946,0.252,0.471,0.108,0.208,0.037,0.459,0.506,0.402,0.652,0.834,0.409,0.046,0.341,0.268,0.04,0.555,0.134,0.577,0.067,0.946,0.252,0.471,0.108,0.208,0.037,0.459,0.506,0.402,0.652,0.834
22/4/35 8:00,0.858,0.307,0.138,0.905,0.133,0.631,0.449,0.62,0.274,0.801,0.828,0.432,0.241,0.459,0.35,0.869,0.531,0.878,0.649,0.638,0.858,0.307,0.138,0.905,0.133,0.631,0.449,0.62,0.274,0.801,0.828,0.432,0.241,0.459,0.35,0.869,0.531,0.878,0.649,0.638
22/4/35 9:00,0.845,0.192,0.078,0.944,0.225,0.737,0.647,0.846,0.376,0.721,0.826,0.41,0.129,0.684,0.748,0.871,0.453,0.906,0.705,0.622,0.845,0.192,0.078,0.944,0.225,0.737,0.647,0.846,0.376,0.721,0.826,0.41,0.129,0.684,0.748,0.871,0.453,0.906,0.705,0.622
22/4/35 10:00,0.801,0.297,0.019,0.937,0.546,0.678,0.611,0.813,0.539,0.817,0.78,0.353,0.223,0.752,0.687,0.84,0.296,0.725,0.703,0.568,0.801,0.297,0.019,0.937,0.546,0.678,0.611,0.813,0.539,0.817,0.78,0.353,0.223,0.752,0.687,0.84,0.296,0.725,0.703,0.568
22/4/35 11:00,0.768,0.178,0.035,0.913,0.547,0.561,0.641,0.8,0.628,0.809,0.744,0.316,0.186,0.701,0.487,0.814,0.152,0.697,0.556,0.422,0.768,0.178,0.035,0.913,0.547,0.561,0.641,0.8,0.628,0.809,0.744,0.316,0.186,0.701,0.487,0.814,0.152,0.697,0.556,0.422
22/4/35 12:00,0.762,0.198,0.017,0.897,0.595,0.498,0.578,0.606,0.629,0.952,0.739,0.236,0.238,0.574,0.437,0.809,0.118,0.714,0.43,0.32,0.762,0.198,0.017,0.897,0.595,0.498,0.578,0.606,0.629,0.952,0.739,0.236,0.238,0.574,0.437,0.809,0.118,0.714,0.43,0.32
22/4/35 13:00,0.782,0.228,0.007,0.897,0.612,0.528,0.662,0.45,0.455,0.941,0.77,0.231,0.244,0.418,0.44,0.817,0.173,0.802,0.372,0.245,0.782,0.228,0.007,0.897,0.612,0.528,0.662,0.45,0.455,0.941,0.77,0.231,0.244,0.418,0.44,0.817,0.173,0.802,0.372,0.245
22/4/35 14:00,0.809,0.15,0.005,0.907,0.539,0.422,0.769,0.313,0.296,0.965,0.804,0.222,0.277,0.616,0.397,0.831,0.233,0.79,0.395,0.219,0.809,0.15,0.005,0.907,0.539,0.422,0.769,0.313,0.296,0.965,0.804,0.222,0.277,0.616,0.397,0.831,0.233,0.79,0.395,0.219
22/4/35 15:00,0.808,0.15,0.004,0.896,0.174,0.366,0.62,0.379,0.128,0.958,0.772,0.135,0.231,0.753,0.126,0.812,0.284,0.856,0.43,0.219,0.808,0.15,0.004,0.896,0.174,0.366,0.62,0.379,0.128,0.958,0.772,0.135,0.231,0.753,0.126,0.812,0.284,0.856,0.43,0.219
22/4/35 16:00,0.282,0.056,0.007,0.654,0.05,0.411,0.257,0.356,0.168,0.959,0.288,0.096,0.393,0.319,0.033,0.311,0.269,0.563,0.48,0.216,0.282,0.056,0.007,0.654,0.05,0.411,0.257,0.356,0.168,0.959,0.288,0.096,0.393,0.319,0.033,0.311,0.269,0.563,0.48,0.216
22/4/35 17:00,0.012,4.56E-05,0.062,0.221,0.01,0.528,0.034,0.497,0.222,0.864,0.017,0.055,0.306,0.01,0.017,0.014,0.264,0.062,0.571,0.382,0.012,4.56E-05,0.062,0.221,0.01,0.528,0.034,0.497,0.222,0.864,0.017,0.055,0.306,0.01,0.017,0.014,0.264,0.062,0.571,0.382
22/4/35 18:00,0,0,0.246,0,0,0.712,0,0.506,0.275,0.853,0,0.059,0.299,0,0,0,0.386,0,0.641,0.481,0,0,0.246,0,0,0.712,0,0.506,0.275,0.853,0,0.059,0.299,0,0,0,0.386,0,0.641,0.481
22/4/35 19:00,0,0,0.332,0,0,0.789,0,0.277,0.365,0.987,0,0.115,0.365,0,0,0,0.64,0,0.707,0.29,0,0,0.332,0,0,0.789,0,0.277,0.365,0.987,0,0.115,0.365,0,0,0,0.64,0,0.707,0.29
22/4/35 20:00,0,0,0.257,0,0,0.868,0,0.17,0.398,0.977,0,0.534,0.37,0,0,0,0.733,0,0.824,0.07,0,0,0.257,0,0,0.868,0,0.17,0.398,0.977,0,0.534,0.37,0,0,0,0.733,0,0.824,0.07
22/4/35 21:00,0,0,0.158,0,0,0.875,0,0.218,0.326,0.95,0,0.467,0.274,0,0,0,0.728,0,0.889,0.058,0,0,0.158,0,0,0.875,0,0.218,0.326,0.95,0,0.467,0.274,0,0,0,0.728,0,0.889,0.058
22/4/35 22:00,0,0,0.056,0,0,0.866,0,0.267,0.194,0.633,0,0.136,0.183,0,0,0,0.799,0,0.869,0.146,0,0,0.056,0,0,0.866,0,0.267,0.194,0.633,0,0.136,0.183,0,0,0,0.799,0,0.869,0.146
22/4/35 23:00,0,0,0.011,0,0,0.807,0,0.247,0.173,0.706,0,0.231,0.104,0,0,0,0.837,0,0.899,0.364,0,0,0.011,0,0,0.807,0,0.247,0.173,0.706,0,0.231,0.104,0,0,0,0.837,0,0.899,0.364
23/7/35 0:00,0,0,0.007,0,0,0.155,0,0.773,0.269,0.904,0,0.116,0.441,0,0,0,0.393,0,0.284,0.25,0,0,0.007,0,0,0.155,0,0.773,0.269,0.904,0,0.116,0.441,0,0,0,0.393,0,0.284,0.25
23/7/35 1:00,0,0,0.041,0,0,0.105,0,0.572,0.305,0.703,0,0.177,0.397,0,0,0,0.272,0,0.188,0.22,0,0,0.041,0,0,0.105,0,0.572,0.305,0.703,0,0.177,0.397,0,0,0,0.272,0,0.188,0.22
23/7/35 2:00,0,0,0.05,0,0,0.034,0,0.303,0.389,0,0,0.185,0.363,0,0,0,0.164,0,0.218,0.165,0,0,0.05,0,0,0.034,0,0.303,0.389,0,0,0.185,0.363,0,0,0,0.164,0,0.218,0.165
23/7/35 3:00,0,0,0.066,0,0,0.007,0,0.315,0.309,0.457,0,0.17,0.311,0,0,0,0.126,0,0.209,0.128,0,0,0.066,0,0,0.007,0,0.315,0.309,0.457,0,0.17,0.311,0,0,0,0.126,0,0.209,0.128
23/7/35 4:00,0,0,0.081,0,0,0.009,0,0.296,0.234,0.923,0,0.199,0.355,0,0,0,0.085,0,0.341,0.083,0,0,0.081,0,0,0.009,0,0.296,0.234,0.923,0,0.199,0.355,0,0,0,0.085,0,0.341,0.083
23/7/35 5:00,0,0,0.081,0,0,0.009,0,0.332,0.306,0.895,0,0.285,0.396,0,0,0,0.177,0,0.786,0.033,0,0,0.081,0,0,0.009,0,0.332,0.306,0.895,0,0.285,0.396,0,0,0,0.177,0,0.786,0.033
23/7/35 6:00,0,0,0.094,0,0,0.027,0,0.459,0.423,0.462,0,0.231,0.346,0,0,0.001,0.201,0,0.928,0.013,0,0,0.094,0,0,0.027,0,0.459,0.423,0.462,0,0.231,0.346,0,0,0.001,0.201,0,0.928,0.013
23/7/35 7:00,0.185,0.002,0.106,0.204,0.001,0.097,0.021,0.533,0.523,0.856,0.065,0.18,0.386,0.043,0,0.232,0.308,0.225,0.926,0.01,0.185,0.002,0.106,0.204,0.001,0.097,0.021,0.533,0.523,0.856,0.065,0.18,0.386,0.043,0,0.232,0.308,0.225,0.926,0.01
23/7/35 8:00,0.576,0.048,0.051,0.627,0.166,0.18,0.286,0.536,0.395,0.899,0.577,0.122,0.344,0.361,0.13,0.723,0.375,0.745,0.839,0.017,0.576,0.048,0.051,0.627,0.166,0.18,0.286,0.536,0.395,0.899,0.577,0.122,0.344,0.361,0.13,0.723,0.375,0.745,0.839,0.017
23/7/35 9:00,0.771,0.259,0.042,0.851,0.268,0.135,0.688,0.4,0.404,0.884,0.751,0.066,0.262,0.71,0.467,0.782,0.332,0.796,0.693,0.004,0.771,0.259,0.042,0.851,0.268,0.135,0.688,0.4,0.404,0.884,0.751,0.066,0.262,0.71,0.467,0.782,0.332,0.796,0.693,0.004
23/7/35 10:00,0.737,0.179,0.105,0.849,0.297,0.152,0.659,0.461,0.336,0.891,0.725,0.061,0.256,0.684,0.512,0.754,0.269,0.802,0.632,0.026,0.737,0.179,0.105,0.849,0.297,0.152,0.659,0.461,0.336,0.891,0.725,0.061,0.256,0.684,0.512,0.754,0.269,0.802,0.632,0.026
23/7/35 11:00,0.698,0.231,0.126,0.824,0.276,0.169,0.634,0.465,0.339,0.919,0.683,0.054,0.162,0.577,0.446,0.723,0.202,0.783,0.419,0.088,0.698,0.231,0.126,0.824,0.276,0.169,0.634,0.465,0.339,0.919,0.683,0.054,0.162,0.577,0.446,0.723,0.202,0.783,0.419,0.088
23/7/35 12:00,0.693,0.196,0.137,0.808,0.224,0.163,0.576,0.498,0.308,0.962,0.668,0.041,0.106,0.401,0.428,0.719,0.142,0.725,0.3,0.117,0.693,0.196,0.137,0.808,0.224,0.163,0.576,0.498,0.308,0.962,0.668,0.041,0.106,0.401,0.428,0.719,0.142,0.725,0.3,0.117
23/7/35 13:00,0.729,0.315,0.168,0.81,0.298,0.125,0.578,0.414,0.266,0.968,0.692,0.086,0.151,0.336,0.374,0.745,0.055,0.725,0.26,0.153,0.729,0.315,0.168,0.81,0.298,0.125,0.578,0.414,0.266,0.968,0.692,0.086,0.151,0.336,0.374,0.745,0.055,0.725,0.26,0.153
23/7/35 14:00,0.772,0.336,0.212,0.811,0.212,0.119,0.607,0.43,0.245,0.976,0.752,0.13,0.153,0.338,0.266,0.766,0.065,0.548,0.203,0.218,0.772,0.336,0.212,0.811,0.212,0.119,0.607,0.43,0.245,0.976,0.752,0.13,0.153,0.338,0.266,0.766,0.065,0.548,0.203,0.218
23/7/35 15:00,0.726,0.267,0.201,0.17,0.233,0.179,0.565,0.358,0.403,0.973,0.711,0.216,0.152,0.379,0.294,0.708,0.065,0.221,0.146,0.268,0.726,0.267,0.201,0.17,0.233,0.179,0.565,0.358,0.403,0.973,0.711,0.216,0.152,0.379,0.294,0.708,0.065,0.221,0.146,0.268
23/7/35 16:00,0.23,0.052,0.329,0.347,0.103,0.222,0.229,0.33,0.559,0.957,0.227,0.25,0.177,0.114,0.308,0.222,0.076,0.193,0.156,0.29,0.23,0.052,0.329,0.347,0.103,0.222,0.229,0.33,0.559,0.957,0.227,0.25,0.177,0.114,0.308,0.222,0.076,0.193,0.156,0.29
23/7/35 17:00,0,0,0.451,0.089,0.005,0.228,0.012,0.473,0.661,0.969,0.001,0.251,0.256,0.001,0.051,0.001,0.183,0.013,0.356,0.378,0,0,0.451,0.089,0.005,0.228,0.012,0.473,0.661,0.969,0.001,0.251,0.256,0.001,0.051,0.001,0.183,0.013,0.356,0.378
23/7/35 18:00,0,0,0.523,0,0,0.28,0,0.576,0.636,0.967,0,0.41,0.283,0,0,0,0.362,0,0.589,0.393,0,0,0.523,0,0,0.28,0,0.576,0.636,0.967,0,0.41,0.283,0,0,0,0.362,0,0.589,0.393
23/7/35 19:00,0,0,0.503,0,0,0.35,0,0.52,0.62,0.95,0,0.443,0.336,0,0,0,0.505,0,0.73,0.469,0,0,0.503,0,0,0.35,0,0.52,0.62,0.95,0,0.443,0.336,0,0,0,0.505,0,0.73,0.469
23/7/35 20:00,0,0,0.435,0,0,0.371,0,0.321,0.539,0.969,0,0.509,0.313,0,0,0,0.511,0,0.815,0.564,0,0,0.435,0,0,0.371,0,0.321,0.539,0.969,0,0.509,0.313,0,0,0,0.511,0,0.815,0.564
23/7/35 21:00,0,0,0.405,0,0,0.412,0,0.304,0.407,0.97,0,0.585,0.222,0,0,0,0.473,0,0.859,0.596,0,0,0.405,0,0,0.412,0,0.304,0.407,0.97,0,0.585,0.222,0,0,0,0.473,0,0.859,0.596
23/7/35 22:00,0,0,0.305,0,0,0.447,0,0.41,0.338,0.974,0,0.621,0.19,0,0,0,0.522,0,0.919,0.553,0,0,0.305,0,0,0.447,0,0.41,0.338,0.974,0,0.621,0.19,0,0,0,0.522,0,0.919,0.553
23/7/35 23:00,0,0,0.238,0,0,0.529,0,0.422,0.271,0.966,0,0.736,0.111,0,0,0,0.564,0,0.899,0.551,0,0,0.238,0,0,0.529,0,0.422,0.271,0.966,0,0.736,0.111,0,0,0,0.564,0,0.899,0.551
24/7/35 0:00,0,0,0.188,0,0,0.614,0,0.375,0.197,0.975,0,0.797,0.086,0,0,0,0.608,0,0.92,0.461,0,0,0.188,0,0,0.614,0,0.375,0.197,0.975,0,0.797,0.086,0,0,0,0.608,0,0.92,0.461
24/7/35 1:00,0,0,0.243,0,0,0.573,0,0.315,0.147,0.47,0,0.854,0.093,0,0,0,0.597,0,0.925,0.454,0,0,0.243,0,0,0.573,0,0.315,0.147,0.47,0,0.854,0.093,0,0,0,0.597,0,0.925,0.454
24/7/35 2:00,0,0,0.499,0,0,0.508,0,0.31,0.105,0.84,0,0.877,0.159,0,0,0,0.607,0,0.906,0.546,0,0,0.499,0,0,0.508,0,0.31,0.105,0.84,0,0.877,0.159,0,0,0,0.607,0,0.906,0.546
24/7/35 3:00,0,0,0.662,0,0,0.631,0,0.24,0.098,0.397,0,0.838,0.255,0,0,0,0.622,0,0.927,0.626,0,0,0.662,0,0,0.631,0,0.24,0.098,0.397,0,0.838,0.255,0,0,0,0.622,0,0.927,0.626
